Search Results Record,Listed Item-Meat,@Stock Photo-Meat,Blurb-Meat,Listed Item-Produce,@Stock Photo-Produce,Blurb-Produce,Listed Item-Deli,@Stock Photo-Deli,Blurb-Deli,Listed Item-Grocery,@Product Photo-Grocery,Listed Item-Bar,@Product Photo-Bar,Listed Item-Pairing,@Product Photo-Pairing,Blurb-Paring,Listed Item-Bakery,@Product Photo-Bakery,Blurb-Bakery,Listed Item-Cheese,@Product Photo-Cheese,Blurb-Cheese
Result 1,Ribeye Steak,@stock_photo/meat/ribeye.jpg,Premium ribeye for grilling,Apples,@stock_photo/produce/apples.jpg,Fresh gala apples,Turkey Breast,stock_photo/deli/turkey_breast.jpg,Smoked turkey breast slices,Pasta,stock_photo/grocery/pasta.jpg,Whiskey,stock_photo/bar/whiskey.jpg,Merlot,stock_photo/pairing/merlot.jpg,Pair the ribeye with merlot.,Sourdough Bread,stock_photo/bakery/sourdough.jpg,Freshly baked sourdough,Cheddar Cheese,stock_photo/cheese/cheddar.jpg,Sharp aged cheddar
Result 2,Chicken Thighs,stock_photo/meat/chicken_thighs.jpg,Juicy and flavorful thighs,Bananas,stock_photo/produce/bananas.jpg,Sweet ripe bananas,Salami,stock_photo/deli/salami.jpg,Italian dry salami,Cereal,stock_photo/grocery/cereal.jpg,Beer,stock_photo/bar/beer.jpg,Pinot Noir,stock_photo/pairing/pinot_noir.jpg,Enjoy with a crisp Pinot Noir.,Baguette,stock_photo/bakery/baguette.jpg,Classic French baguette,Gouda Cheese,stock_photo/cheese/gouda.jpg,Creamy and mild gouda
Result 3,Pork Chops,@stock_photo/meat/pork_chops.jpg,Bone-in pork chops,Carrots,@stock_photo/produce/carrots.jpg,Crunchy organic carrots,Ham,stock_photo/deli/ham.jpg,Honey-glazed ham,Rice,stock_photo/grocery/rice.jpg,Wine,@stock_photo/bar/wine.jpg,Cabernet Sauvignon,stock_photo/pairing/cabernet_sauvignon.jpg,Pairs well with Cabernet Sauvignon.,Croissant,stock_photo/bakery/croissant.jpg,Buttery croissants,Brie Cheese,stock_photo/cheese/brie.jpg,Soft and creamy brie
Result 4,Beef Brisket,@stock_photo/meat/brisket.jpg,Slow-cooked brisket,Lettuce,@stock_photo/produce/lettuce.jpg,Crisp romaine lettuce,Roast Beef,stock_photo/deli/roast_beef.jpg,Thinly sliced roast beef,Beans,stock_photo/grocery/beans.jpg,Rum,@stock_photo/bar/rum.jpg,Zinfandel,stock_photo/pairing/zinfandel.jpg,A perfect match with Zinfandel.,Donut,stock_photo/bakery/donut.jpg,Sweet glazed donuts,Parmesan Cheese,stock_photo/cheese/parmesan.jpg,Nutty aged parmesan
Result 5,Ground Beef,@stock_photo/meat/ground_beef.jpg,Perfect for burgers,Potatoes,@stock_photo/produce/potatoes.jpg,Russet potatoes for mashing,Pastrami,stock_photo/deli/pastrami.jpg,Peppered pastrami slices,Tomato Sauce,stock_photo/grocery/tomato_sauce.jpg,Cocktail,@stock_photo/bar/cocktail.jpg,Shiraz,stock_photo/pairing/shiraz.jpg,Pair with Shiraz.,Muffin,stock_photo/bakery/muffin.jpg,Blueberry muffins,Blue Cheese,stock_photo/cheese/blue_cheese.jpg,Tangy and bold blue cheese
Result 6,Lamb Chops,@stock_photo/meat/lamb_chops.jpg,Tender and flavorful lamb,Tomatoes,@stock_photo/produce/tomatoes.jpg,Vine-ripened tomatoes,Prosciutto,stock_photo/deli/prosciutto.jpg,Dry-cured Italian ham,Peanut Butter,stock_photo/grocery/peanut_butter.jpg,Champagne,@stock_photo/bar/champagne.jpg,Syrah,stock_photo/pairing/syrah.jpg,Pairs well with Syrah.,Cinnamon Roll,stock_photo/bakery/cinnamon_roll.jpg,Warm cinnamon rolls,Feta Cheese,stock_photo/cheese/feta.jpg,Crumbly and salty feta
Result 7,Duck Breast,@stock_photo/meat/duck_breast.jpg,Rich and savory duck,Onions,@stock_photo/produce/onions.jpg,Sweet yellow onions,Chorizo,stock_photo/deli/chorizo.jpg,Spicy Spanish chorizo,Olive Oil,stock_photo/grocery/olive_oil.jpg,Tequila,@stock_photo/bar/tequila.jpg,Malbec,stock_photo/pairing/malbec.jpg,Pair with Malbec wine.,Banana Bread,stock_photo/bakery/banana_bread.jpg,Moist banana bread,Swiss Cheese,stock_photo/cheese/swiss.jpg,Nutty and semi-soft swiss cheese
Result 8,Venison Steaks,@stock_photo/meat/venison.jpg,Lean and healthy venison,Spinach,@stock_photo/produce/spinach.jpg,Fresh baby spinach,Corned Beef,stock_photo/deli/corned_beef.jpg,Corned beef brisket,Soy Sauce,stock_photo/grocery/soy_sauce.jpg,Vodka,@stock_photo/bar/vodka.jpg,Chianti,stock_photo/pairing/chianti.jpg,Pairs well with Chianti.,Brownie,stock_photo/bakery/brownie.jpg,Fudgy chocolate brownies,Ricotta Cheese,stock_photo/cheese/ricotta.jpg,Creamy and mild ricotta
Result 9,Bacon,@stock_photo/meat/bacon.jpg,Smoked and crispy bacon,Cucumber,@stock_photo/produce/cucumber.jpg,Cool and refreshing cucumbers,Pate,stock_photo/deli/pate.jpg,Gourmet chicken liver pate,Ketchup,stock_photo/grocery/ketchup.jpg,Gin,@stock_photo/bar/gin.jpg,Bourbon,stock_photo/pairing/bourbon.jpg,Pair with Bourbon whiskey.,Pie,stock_photo/bakery/pie.jpg,Homemade apple pie,Camembert Cheese,stock_photo/cheese/camembert.jpg,Soft and bloomy camembert
Result 10,Sausages,@stock_photo/meat/sausages.jpg,Juicy and seasoned sausages,Peppers,@stock_photo/produce/peppers.jpg,Sweet bell peppers,Mortadella,stock_photo/deli/mortadella.jpg,Italian mortadella slices,Flour,stock_photo/grocery/flour.jpg,Liqueur,@stock_photo/bar/liqueur.jpg,Rose,stock_photo/pairing/rose.jpg,Pair with a chilled Rose.,Cupcake,stock_photo/bakery/cupcake.jpg,Vanilla cupcakes,Havarti Cheese,stock_photo/cheese/havarti.jpg,Creamy and mild havarti
